Date Created,Jurisdiction,"Number of Farms, 2002","Number of Farms, 2007","Number of Farms, 2012","Number of Farms, 2017","Change in Number of Farms, 2002-2007","Change in Number of Farms, 2007-2012","Change in Number of Farms, 2012-2017","Percent Change in Farms, 2002-2007","Percent Change in Farms, 2007-2012","Percent Change in Farms, 2012-2017","Change in Number of Farms, 2002-2017","Percent Change in Farms, 2002-2017"
10/31/2022 12:00:00 AM,MARYLAND,12198,12834,12256,12429,636,-578,173,0.05213969503197245,-0.04503662147420913,0.014115535248041775,231,0.01893753074274471
10/31/2022 12:00:00 AM,Allegany County,278,302,291,290,24,-11,-1,0.08633093525179857,-0.03642384105960265,-0.003436426116838488,12,0.04316546762589928
10/31/2022 12:00:00 AM,Anne Arundel County,432,377,381,390,-55,4,9,-0.12731481481481483,0.010610079575596816,0.023622047244094488,-42,-0.09722222222222222
10/31/2022 12:00:00 AM,Baltimore City,------,------,------,------,------,------,------,------,------,------,------,------
10/31/2022 12:00:00 AM,Baltimore County,784,751,640,708,-33,-111,68,-0.042091836734693876,-0.1478029294274301,0.10625,-76,-0.09693877551020408
10/31/2022 12:00:00 AM,Calvert County,321,274,269,280,-47,-5,11,-0.14641744548286603,-0.01824817518248175,0.040892193308550186,-41,-0.1277258566978193
10/31/2022 12:00:00 AM,Caroline County,506,574,658,588,68,84,-70,0.13438735177865613,0.14634146341463414,-0.10638297872340426,82,0.16205533596837945
10/31/2022 12:00:00 AM,Carroll County,1058,1148,1092,1174,90,-56,82,0.08506616257088846,-0.04878048780487805,0.07509157509157509,116,0.10964083175803403
10/31/2022 12:00:00 AM,Cecil County,468,583,496,533,115,-87,37,0.24572649572649571,-0.14922813036020582,0.07459677419354839,65,0.1388888888888889
10/31/2022 12:00:00 AM,Charles County,418,418,382,385,0,-36,3,0,-0.0861244019138756,0.007853403141361256,-33,-0.07894736842105263
10/31/2022 12:00:00 AM,Dorchester County,351,424,423,371,73,-1,-52,0.20797720797720798,-0.0023584905660377358,-0.12293144208037825,20,0.05698005698005698
10/31/2022 12:00:00 AM,Frederick County,1273,1442,1308,1373,169,-134,65,0.13275726630007856,-0.09292649098474341,0.04969418960244648,100,0.07855459544383346
10/31/2022 12:00:00 AM,Garrett County,634,677,667,707,43,-10,40,0.06782334384858044,-0.014771048744460856,0.05997001499250375,73,0.11514195583596215
10/31/2022 12:00:00 AM,Harford County,683,704,582,628,21,-122,46,0.03074670571010249,-0.17329545454545456,0.07903780068728522,-55,-0.08052708638360176
10/31/2022 12:00:00 AM,Howard County,346,335,293,321,-11,-42,28,-0.031791907514450865,-0.1253731343283582,0.09556313993174062,-25,-0.07225433526011561
10/31/2022 12:00:00 AM,Kent County,318,377,367,346,59,-10,-21,0.18553459119496854,-0.026525198938992044,-0.05722070844686648,28,0.0880503144654088
10/31/2022 12:00:00 AM,Montgomery County,577,561,540,558,-16,-21,18,-0.02772963604852686,-0.0374331550802139,0.03333333333333333,-19,-0.03292894280762565
10/31/2022 12:00:00 AM,Prince George's County,452,375,347,367,-77,-28,20,-0.17035398230088494,-0.07466666666666667,0.05763688760806916,-85,-0.18805309734513273
10/31/2022 12:00:00 AM,Queen Anne's County,443,521,530,483,78,9,-47,0.17607223476297967,0.01727447216890595,-0.08867924528301886,40,0.09029345372460497
10/31/2022 12:00:00 AM,St. Mary's County,577,621,632,615,44,11,-17,0.07625649913344887,0.017713365539452495,-0.02689873417721519,38,0.0658578856152513
10/31/2022 12:00:00 AM,Somerset County,301,329,286,255,28,-43,-31,0.09302325581395349,-0.13069908814589665,-0.10839160839160839,-46,-0.15282392026578073
10/31/2022 12:00:00 AM,Talbot County,288,305,328,317,17,23,-11,0.059027777777777776,0.07540983606557378,-0.03353658536585366,29,0.10069444444444445
10/31/2022 12:00:00 AM,Washington County,775,844,860,877,69,16,17,0.08903225806451613,0.018957345971563982,0.019767441860465116,102,0.13161290322580646
10/31/2022 12:00:00 AM,Wicomico County,512,508,510,494,-4,2,-16,-0.0078125,0.003937007874015748,-0.03137254901960784,-18,-0.03515625
10/31/2022 12:00:00 AM,Worcester County,403,384,374,369,-19,-10,-5,-0.04714640198511166,-0.026041666666666668,-0.013368983957219251,-34,-0.08436724565756824
